timestamp,symbol,underlying,strike,expiry,option_type,open,high,low,close,volume,iv,delta,gamma,theta,vega
2024-01-03,AAPL240119P00179,AAPL,179.0,2024-01-19,P,3.3685,3.4359,3.3011,3.3685,453,0.25,-0.4572,0.042247,-0.1281,0.149
2024-01-03,AAPL240119C00188,AAPL,188.0,2024-01-19,C,0.9658,0.9851,0.9465,0.9658,23,0.2425,0.1957,0.030343,-0.0833,0.1038
2024-01-03,AAPL240119P00188,AAPL,188.0,2024-01-19,P,9.1842,9.3679,9.0005,9.1842,77,0.2425,-0.8043,0.030343,-0.0997,0.1038
2024-01-03,AAPL240119C00197,AAPL,197.0,2024-01-19,C,0.1129,0.1152,0.1106,0.1129,17,0.235,0.0332,0.008374,-0.0212,0.0278
2024-01-03,AAPL240119P00197,AAPL,197.0,2024-01-19,P,17.3116,17.6578,16.9654,17.3116,193,0.235,-0.9668,0.008374,-0.0465,0.0278
2024-01-03,AAPL240216C00161,AAPL,161.0,2024-02-16,C,20.1424,20.5452,19.7396,20.1424,414,0.265,0.9007,0.010576,-0.0521,0.1087
2024-01-03,AAPL240216P00161,AAPL,161.0,2024-02-16,P,0.8049,0.821,0.7888,0.8049,413,0.265,-0.0993,0.010576,-0.0353,0.1087
2024-01-03,AAPL240216C00170,AAPL,170.0,2024-02-16,C,12.7391,12.9939,12.4843,12.7391,131,0.2575,0.7618,0.019304,-0.0734,0.1928
2024-01-03,AAPL240216P00170,AAPL,170.0,2024-02-16,P,2.3475,2.3944,2.3006,2.3475,311,0.2575,-0.2382,0.019304,-0.0626,0.1928
2024-01-03,AAPL240216C00179,AAPL,179.0,2024-02-16,C,6.934,7.0727,6.7953,6.934,175,0.25,0.5543,0.025386,-0.0826,0.2461
2024-01-03,AAPL240216P00179,AAPL,179.0,2024-02-16,P,5.4883,5.5981,5.3785,5.4883,18,0.25,-0.4457,0.025386,-0.0816,0.2461
2024-01-03,AAPL240216C00188,AAPL,188.0,2024-02-16,C,3.1121,3.1743,3.0499,3.1121,99,0.2425,0.3284,0.023932,-0.0697,0.2251
2024-01-03,AAPL240216P00188,AAPL,188.0,2024-02-16,P,10.6124,10.8246,10.4002,10.6124,145,0.2425,-0.6716,0.023932,-0.08,0.2251
2024-01-03,AAPL240216C00197,AAPL,197.0,2024-02-16,C,1.1012,1.1232,1.0792,1.1012,36,0.235,0.1505,0.015965,-0.0424,0.1455
2024-01-03,AAPL240216P00197,AAPL,197.0,2024-02-16,P,17.5474,17.8983,17.1965,17.5474,74,0.235,-0.8495,0.015965,-0.0621,0.1455
2024-01-03,AAPL240315C00161,AAPL,161.0,2024-03-15,C,21.6008,22.0328,21.1688,21.6008,389,0.265,0.8556,0.010767,-0.0514,0.1811
2024-01-03,AAPL240315P00161,AAPL,161.0,2024-03-15,P,1.6507,1.6837,1.6177,1.6507,225,0.265,-0.1444,0.010767,-0.0371,0.1811
2024-01-03,AAPL240315C00170,AAPL,170.0,2024-03-15,C,14.6372,14.9299,14.3445,14.6372,279,0.2575,0.7299,0.016121,-0.063,0.2635
2024-01-03,AAPL240315P00170,AAPL,170.0,2024-03-15,P,3.5988,3.6708,3.5268,3.5988,68,0.2575,-0.2701,0.016121,-0.0542,0.2635
2024-01-03,AAPL240315C00179,AAPL,179.0,2024-03-15,C,9.0032,9.1833,8.8231,9.0032,391,0.25,0.5647,0.019767,-0.0671,0.3136
2024-01-03,AAPL240315P00179,AAPL,179.0,2024-03-15,P,6.8764,7.0139,6.7389,6.8764,42,0.25,-0.4353,0.019767,-0.0661,0.3136
2024-01-03,AAPL240315C00188,AAPL,188.0,2024-03-15,C,4.9179,5.0163,4.8195,4.9179,253,0.2425,0.3856,0.019795,-0.0601,0.3047
2024-01-03,AAPL240315P00188,AAPL,188.0,2024-03-15,P,11.7028,11.9369,11.4687,11.7028,239,0.2425,-0.6144,0.019795,-0.068,0.3047
2024-01-03,AAPL240315C00197,AAPL,197.0,2024-03-15,C,2.3295,2.3761,2.2829,2.3295,408,0.235,0.2262,0.016066,-0.0443,0.2396
2024-01-03,AAPL240315P00197,AAPL,197.0,2024-03-15,P,18.026,18.3865,17.6655,18.026,195,0.235,-0.7738,0.016066,-0.0606,0.2396
2024-01-03,AAPL240419C00161,AAPL,161.0,2024-04-19,C,23.3456,23.8125,22.8787,23.3456,272,0.265,0.823,0.010088,-0.0482,0.2521
2024-01-03,AAPL240419P00161,AAPL,161.0,2024-04-19,P,2.6329,2.6856,2.5802,2.6329,313,0.265,-0.177,0.010088,-0.0359,0.2521
2024-01-03,AAPL240419C00170,AAPL,170.0,2024-04-19,C,16.6933,17.0272,16.3594,16.6933,65,0.2575,0.7121,0.01364,-0.0551,0.3313
2024-01-03,AAPL240419P00170,AAPL,170.0,2024-04-19,P,4.8497,4.9467,4.7527,4.8497,241,0.2575,-0.2879,0.01364,-0.0476,0.3313
2024-01-03,AAPL240419C00179,AAPL,179.0,2024-04-19,C,11.1587,11.3819,10.9355,11.1587,267,0.25,0.5758,0.016134,-0.0571,0.3804
2024-01-03,AAPL240419P00179,AAPL,179.0,2024-04-19,P,8.1841,8.3478,8.0204,8.1841,123,0.25,-0.4242,0.016134,-0.056,0.3804
2024-01-03,AAPL240419C00188,AAPL,188.0,2024-04-19,C,6.8832,7.0209,6.7455,6.8832,494,0.2425,0.4283,0.016666,-0.0528,0.3812
2024-01-03,AAPL240419P00188,AAPL,188.0,2024-04-19,P,12.7777,13.0333,12.5221,12.7777,324,0.2425,-0.5717,0.016666,-0.059,0.3812
2024-01-03,AAPL240419C00197,AAPL,197.0,2024-04-19,C,3.8615,3.9387,3.7843,3.8615,32,0.235,0.2884,0.01496,-0.043,0.3316
2024-01-03,AAPL240419P00197,AAPL,197.0,2024-04-19,P,18.625,18.9975,18.2525,18.625,382,0.235,-0.7116,0.01496,-0.0564,0.3316
2024-01-04,AAPL240119C00161,AAPL,161.0,2024-01-19,C,18.2489,18.6139,17.8839,18.2489,411,0.265,0.9784,0.005384,-0.038,0.0188
2024-01-04,AAPL240119P00161,AAPL,161.0,2024-01-19,P,0.0785,0.0801,0.0769,0.0785,475,0.265,-0.0216,0.005384,-0.0171,0.0188
2024-01-04,AAPL240119C00170,AAPL,170.0,2024-01-19,C,9.9313,10.1299,9.7327,9.9313,453,0.2575,0.85,0.024971,-0.092,0.0845
2024-01-04,AAPL240119P00170,AAPL,170.0,2024-01-19,P,0.7424,0.7572,0.7276,0.7424,347,0.2575,-0.15,0.024971,-0.0763,0.0845
2024-01-04,AAPL240119C00179,AAPL,179.0,2024-01-19,C,3.7181,3.7925,3.6437,3.7181,276,0.25,0.5192,0.043964,-0.1326,0.1445
2024-01-04,AAPL240119P00179,AAPL,179.0,2024-01-19,P,3.5106,3.5808,3.4404,3.5106,164,0.25,-0.4808,0.043964,-0.1326,0.1445
2024-01-04,AAPL240119C00188,AAPL,188.0,2024-01-19,C,0.7876,0.8034,0.7718,0.7876,244,0.2425,0.1711,0.028906,-0.0786,0.0921
2024-01-04,AAPL240119P00188,AAPL,188.0,2024-01-19,P,9.5617,9.7529,9.3705,9.5617,339,0.2425,-0.8289,0.028906,-0.0961,0.0921
2024-01-04,AAPL240119C00197,AAPL,197.0,2024-01-19,C,0.0785,0.0801,0.0769,0.0785,25,0.235,0.0248,0.006817,-0.0171,0.0211
2024-01-04,AAPL240119P00197,AAPL,197.0,2024-01-19,P,17.8341,18.1908,17.4774,17.8341,41,0.235,-0.9752,0.006817,-0.0428,0.0211
2024-01-04,AAPL240216C00161,AAPL,161.0,2024-02-16,C,19.6133,20.0056,19.221,19.6133,255,0.265,0.8972,0.01101,-0.0532,0.1099
2024-01-04,AAPL240216P00161,AAPL,161.0,2024-02-16,P,0.8277,0.8443,0.8111,0.8277,443,0.265,-0.1028,0.01101,-0.0365,0.1099
2024-01-04,AAPL240216C00170,AAPL,170.0,2024-02-16,C,12.2635,12.5088,12.0182,12.2635,215,0.2575,0.7531,0.019969,-0.0748,0.1938
2024-01-04,AAPL240216P00170,AAPL,170.0,2024-02-16,P,2.4251,2.4736,2.3766,2.4251,228,0.2575,-0.2469,0.019969,-0.0644,0.1938
2024-01-04,AAPL240216C00179,AAPL,179.0,2024-02-16,C,6.561,6.6922,6.4298,6.561,361,0.25,0.5403,0.025864,-0.0832,0.2436
2024-01-04,AAPL240216P00179,AAPL,179.0,2024-02-16,P,5.6697,5.7831,5.5563,5.6697,65,0.25,-0.4597,0.025864,-0.0829,0.2436
2024-01-04,AAPL240216C00188,AAPL,188.0,2024-02-16,C,2.8731,2.9306,2.8156,2.8731,261,0.2425,0.3129,0.023795,-0.0686,0.2174
2024-01-04,AAPL240216P00188,AAPL,188.0,2024-02-16,P,10.9289,11.1475,10.7103,10.9289,374,0.2425,-0.6871,0.023795,-0.0796,0.2174
2024-01-04,AAPL240216C00197,AAPL,197.0,2024-02-16,C,0.9832,1.0029,0.9635,0.9832,475,0.235,0.1388,0.015341,-0.0404,0.1358
2024-01-04,AAPL240216P00197,AAPL,197.0,2024-02-16,P,17.9862,18.3459,17.6265,17.9862,237,0.235,-0.8612,0.015341,-0.0607,0.1358
2024-01-04,AAPL240315C00161,AAPL,161.0,2024-03-15,C,21.0968,21.5187,20.6749,21.0968,47,0.265,0.851,0.011104,-0.0521,0.1831
2024-01-04,AAPL240315P00161,AAPL,161.0,2024-03-15,P,1.6985,1.7325,1.6645,1.6985,470,0.265,-0.149,0.011104,-0.038,0.1831
2024-01-04,AAPL240315C00170,AAPL,170.0,2024-03-15,C,14.1891,14.4729,13.9053,14.1891,51,0.2575,0.722,0.016516,-0.0637,0.2646
2024-01-04,AAPL240315P00170,AAPL,170.0,2024-03-15,P,3.7037,3.7778,3.6296,3.7037,174,0.2575,-0.278,0.016516,-0.0553,0.2646
2024-01-04,AAPL240315C00179,AAPL,179.0,2024-03-15,C,8.6396,8.8124,8.4668,8.6396,321,0.25,0.5538,0.020047,-0.0673,0.3118
2024-01-04,AAPL240315P00179,AAPL,179.0,2024-03-15,P,7.0671,7.2084,6.9258,7.0671,85,0.25,-0.4462,0.020047,-0.0668,0.3118
2024-01-04,AAPL240315C00188,AAPL,188.0,2024-03-15,C,4.657,4.7501,4.5639,4.657,43,0.2425,0.3735,0.019799,-0.0595,0.2987
2024-01-04,AAPL240315P00188,AAPL,188.0,2024-03-15,P,11.9973,12.2372,11.7574,11.9973,74,0.2425,-0.6265,0.019799,-0.068,0.2987
2024-01-04,AAPL240315C00197,AAPL,197.0,2024-03-15,C,2.1687,2.2121,2.1253,2.1687,150,0.235,0.2155,0.015785,-0.0432,0.2308
2024-01-04,AAPL240315P00197,AAPL,197.0,2024-03-15,P,18.4219,18.7903,18.0535,18.4219,329,0.235,-0.7845,0.015785,-0.0599,0.2308
2024-01-04,AAPL240419C00161,AAPL,161.0,2024-04-19,C,22.8622,23.3194,22.405,22.8622,334,0.265,0.8183,0.010335,-0.0487,0.2544
2024-01-04,AAPL240419P00161,AAPL,161.0,2024-04-19,P,2.7012,2.7552,2.6472,2.7012,309,0.265,-0.1817,0.010335,-0.0366,0.2544
2024-01-04,AAPL240419C00170,AAPL,170.0,2024-04-19,C,16.2624,16.5876,15.9372,16.2624,290,0.2575,0.7052,0.013899,-0.0554,0.3324
2024-01-04,AAPL240419P00170,AAPL,170.0,2024-04-19,P,4.9718,5.0712,4.8724,4.9718,374,0.2575,-0.2948,0.013899,-0.0483,0.3324
2024-01-04,AAPL240419C00179,AAPL,179.0,2024-04-19,C,10.7988,11.0148,10.5828,10.7988,176,0.25,0.5669,0.016324,-0.0571,0.3791
2024-01-04,AAPL240419P00179,AAPL,179.0,2024-04-19,P,8.3784,8.546,8.2108,8.3784,205,0.25,-0.4331,0.016324,-0.0565,0.3791
2024-01-04,AAPL240419C00188,AAPL,188.0,2024-04-19,C,6.6062,6.7383,6.4741,6.6062,315,0.2425,0.4185,0.016712,-0.0524,0.3764
2024-01-04,AAPL240419P00188,AAPL,188.0,2024-04-19,P,13.056,13.3171,12.7949,13.056,281,0.2425,-0.5815,0.016712,-0.0591,0.3764
2024-01-04,AAPL240419C00197,AAPL,197.0,2024-04-19,C,3.6685,3.7419,3.5951,3.6685,160,0.235,0.279,0.014838,-0.0422,0.3239
2024-01-04,AAPL240419P00197,AAPL,197.0,2024-04-19,P,18.9886,19.3684,18.6088,18.9886,242,0.235,-0.721,0.014838,-0.0562,0.3239
2024-01-05,AAPL240119C00163,AAPL,163.0,2024-01-19,C,18.0441,18.405,17.6832,18.0441,268,0.265,0.9796,0.005258,-0.0383,0.0174
2024-01-05,AAPL240119P00163,AAPL,163.0,2024-01-19,P,0.0718,0.0732,0.0704,0.0718,319,0.265,-0.0204,0.005258,-0.017,0.0174
2024-01-05,AAPL240119C00172,AAPL,172.0,2024-01-19,C,9.7125,9.9068,9.5183,9.7125,230,0.2575,0.8502,0.025568,-0.0955,0.0824
2024-01-05,AAPL240119P00172,AAPL,172.0,2024-01-19,P,0.7229,0.7374,0.7084,0.7229,60,0.2575,-0.1498,0.025568,-0.0796,0.0824
2024-01-05,AAPL240119C00181,AAPL,181.0,2024-01-19,C,3.5318,3.6024,3.4612,3.5318,416,0.25,0.5101,0.045087,-0.1381,0.1411
2024-01-05,AAPL240119P00181,AAPL,181.0,2024-01-19,P,3.525,3.5955,3.4545,3.525,369,0.25,-0.4899,0.045087,-0.1386,0.1411
2024-01-05,AAPL240119C00190,AAPL,190.0,2024-01-19,C,0.7035,0.7176,0.6894,0.7035,68,0.2425,0.1593,0.028279,-0.0782,0.0859
2024-01-05,AAPL240119P00190,AAPL,190.0,2024-01-19,P,9.6794,9.873,9.4858,9.6794,446,0.2425,-0.8407,0.028279,-0.0965,0.0859
2024-01-05,AAPL240119C00199,AAPL,199.0,2024-01-19,C,0.0631,0.0644,0.0618,0.0631,345,0.235,0.0209,0.006037,-0.0154,0.0178
2024-01-05,AAPL240119P00199,AAPL,199.0,2024-01-19,P,18.0218,18.3822,17.6614,18.0218,343,0.235,-0.9791,0.006037,-0.0416,0.0178
2024-01-05,AAPL240216C00163,AAPL,163.0,2024-02-16,C,19.4428,19.8317,19.0539,19.4428,459,0.265,0.8949,0.011201,-0.0547,0.1115
2024-01-05,AAPL240216P00163,AAPL,163.0,2024-02-16,P,0.8477,0.8647,0.8307,0.8477,403,0.265,-0.1051,0.011201,-0.0379,0.1115
2024-01-05,AAPL240216C00172,AAPL,172.0,2024-02-16,C,12.1183,12.3607,11.8759,12.1183,292,0.2575,0.7492,0.020172,-0.0767,0.1951
2024-01-05,AAPL240216P00172,AAPL,172.0,2024-02-16,P,2.4715,2.5209,2.4221,2.4715,379,0.2575,-0.2508,0.020172,-0.0663,0.1951
2024-01-05,AAPL240216C00181,AAPL,181.0,2024-02-16,C,6.454,6.5831,6.3249,6.454,453,0.25,0.5351,0.025939,-0.0848,0.2435
2024-01-05,AAPL240216P00181,AAPL,181.0,2024-02-16,P,5.7556,5.8707,5.6405,5.7556,120,0.25,-0.4649,0.025939,-0.0848,0.2435
2024-01-05,AAPL240216C00190,AAPL,190.0,2024-02-16,C,2.8086,2.8648,2.7524,2.8086,230,0.2425,0.3079,0.02367,-0.0695,0.2156
2024-01-05,AAPL240216P00190,AAPL,190.0,2024-02-16,P,11.0586,11.2798,10.8374,11.0586,241,0.2425,-0.6921,0.02367,-0.0809,0.2156
2024-01-05,AAPL240216C00199,AAPL,199.0,2024-02-16,C,0.9531,0.9722,0.934,0.9531,464,0.235,0.1355,0.015113,-0.0405,0.1334
2024-01-05,AAPL240216P00199,AAPL,199.0,2024-02-16,P,18.1514,18.5144,17.7884,18.1514,126,0.235,-0.8645,0.015113,-0.0612,0.1334
2024-01-05,AAPL240315C00163,AAPL,163.0,2024-03-15,C,20.9647,21.384,20.5454,20.9647,221,0.265,0.8478,0.011229,-0.0534,0.1863
2024-01-05,AAPL240315P00163,AAPL,163.0,2024-03-15,P,1.7492,1.7842,1.7142,1.7492,183,0.265,-0.1522,0.011229,-0.0393,0.1863
2024-01-05,AAPL240315C00172,AAPL,172.0,2024-03-15,C,14.0868,14.3685,13.8051,14.0868,433,0.2575,0.718,0.016579,-0.065,0.2672
2024-01-05,AAPL240315P00172,AAPL,172.0,2024-03-15,P,3.7854,3.8611,3.7097,3.7854,242,0.2575,-0.282,0.016579,-0.0566,0.2672
2024-01-05,AAPL240315C00181,AAPL,181.0,2024-03-15,C,8.5696,8.741,8.3982,8.5696,214,0.25,0.5498,0.020013,-0.0684,0.3132
2024-01-05,AAPL240315P00181,AAPL,181.0,2024-03-15,P,7.1823,7.3259,7.0387,7.1823,222,0.25,-0.4502,0.020013,-0.068,0.3132
2024-01-05,AAPL240315C00190,AAPL,190.0,2024-03-15,C,4.6156,4.7079,4.5233,4.6156,383,0.2425,0.3702,0.019684,-0.0603,0.2988
2024-01-05,AAPL240315P00190,AAPL,190.0,2024-03-15,P,12.1424,12.3852,11.8996,12.1424,58,0.2425,-0.6298,0.019684,-0.069,0.2988
2024-01-05,AAPL240315C00199,AAPL,199.0,2024-03-15,C,2.148,2.191,2.105,2.148,170,0.235,0.2133,0.015645,-0.0436,0.2301
2024-01-05,AAPL240315P00199,AAPL,199.0,2024-03-15,P,18.5889,18.9607,18.2171,18.5889,228,0.235,-0.7867,0.015645,-0.0606,0.2301
2024-01-05,AAPL240419C00163,AAPL,163.0,2024-04-19,C,22.7687,23.2241,22.3133,22.7687,170,0.265,0.8149,0.0104,-0.0497,0.2588
2024-01-05,AAPL240419P00163,AAPL,163.0,2024-04-19,P,2.781,2.8366,2.7254,2.781,350,0.265,-0.1851,0.0104,-0.0376,0.2588
2024-01-05,AAPL240419C00172,AAPL,172.0,2024-04-19,C,16.1978,16.5218,15.8738,16.1978,140,0.2575,0.7016,0.013902,-0.0564,0.3361
2024-01-05,AAPL240419P00172,AAPL,172.0,2024-04-19,P,5.0815,5.1831,4.9799,5.0815,201,0.2575,-0.2984,0.013902,-0.0493,0.3361
2024-01-05,AAPL240419C00181,AAPL,181.0,2024-04-19,C,10.7609,10.9761,10.5457,10.7609,498,0.25,0.5637,0.016259,-0.0579,0.3816
2024-01-05,AAPL240419P00181,AAPL,181.0,2024-04-19,P,8.5161,8.6864,8.3458,8.5161,88,0.25,-0.4363,0.016259,-0.0574,0.3816
2024-01-05,AAPL240419C00190,AAPL,190.0,2024-04-19,C,6.589,6.7208,6.4572,6.589,361,0.2425,0.4161,0.016601,-0.053,0.378
2024-01-05,AAPL240419P00190,AAPL,190.0,2024-04-19,P,13.2157,13.48,12.9514,13.2157,482,0.2425,-0.5839,0.016601,-0.0599,0.378
2024-01-05,AAPL240419C00199,AAPL,199.0,2024-04-19,C,3.6643,3.7376,3.591,3.6643,252,0.235,0.2776,0.014721,-0.0427,0.3248
2024-01-05,AAPL240419P00199,AAPL,199.0,2024-04-19,P,19.1625,19.5458,18.7793,19.1625,44,0.235,-0.7224,0.014721,-0.0569,0.3248
2024-01-08,AAPL240119C00163,AAPL,163.0,2024-01-19,C,18.65,19.023,18.277,18.65,56,0.265,0.9913,0.002827,-0.031,0.0074
2024-01-08,AAPL240119P00163,AAPL,163.0,2024-01-19,P,0.0246,0.0251,0.0241,0.0246,435,0.265,-0.0087,0.002827,-0.0092,0.0074
2024-01-08,AAPL240119C00172,AAPL,172.0,2024-01-19,C,10.0623,10.2635,9.8611,10.0623,53,0.2575,0.8932,0.022698,-0.0886,0.0579
2024-01-08,AAPL240119P00172,AAPL,172.0,2024-01-19,P,0.4233,0.4318,0.4148,0.4233,57,0.2575,-0.1068,0.022698,-0.0705,0.0579
2024-01-08,AAPL240119C00181,AAPL,181.0,2024-01-19,C,3.4716,3.541,3.4022,3.4716,231,0.25,0.5417,0.050402,-0.155,0.1249
2024-01-08,AAPL240119P00181,AAPL,181.0,2024-01-19,P,2.8191,2.8755,2.7627,2.8191,59,0.25,-0.4583,0.050402,-0.1537,0.1249
2024-01-08,AAPL240119C00190,AAPL,190.0,2024-01-19,C,0.5716,0.583,0.5602,0.5716,391,0.2425,0.1478,0.030231,-0.0837,0.0727
2024-01-08,AAPL240119P00190,AAPL,190.0,2024-01-19,P,8.9055,9.0836,8.7274,8.9055,388,0.2425,-0.8522,0.030231,-0.1025,0.0727
